Date,Volume (V µg/m3)
15/08/2018,&nbsp;
16/08/2018,&nbsp;
17/08/2018,&nbsp;
27/08/2020,9
28/08/2020,6
29/08/2020,7
30/08/2020,7
31/08/2020,9
01/09/2020,14
02/09/2020,10
03/09/2020,8
04/09/2020,8
05/09/2020,9
06/09/2020,9
07/09/2020,9
08/09/2020,6
09/09/2020,8
10/09/2020,10
11/09/2020,11
12/09/2020,7
13/09/2020,8
14/09/2020,16
15/09/2020,32
16/09/2020,19
17/09/2020,8
18/09/2020,10
19/09/2020,11
20/09/2020,12
21/09/2020,19
22/09/2020,17
23/09/2020,9
24/09/2020,4
25/09/2020,6
26/09/2020,6
27/09/2020,6
28/09/2020,10
29/09/2020,10
30/09/2020,7
01/10/2020,6
02/10/2020,6
03/10/2020,7
04/10/2020,4
05/10/2020,7
06/10/2020,6
07/10/2020,6
08/10/2020,5
09/10/2020,8
10/10/2020,6
11/10/2020,7
12/10/2020,9
13/10/2020,8
14/10/2020,8
15/10/2020,6
16/10/2020,8
17/10/2020,9
18/10/2020,16
19/10/2020,13
20/10/2020,12
21/10/2020,7
22/10/2020,8
23/10/2020,8
24/10/2020,6
25/10/2020,5
26/10/2020,7
27/10/2020,7
28/10/2020,7
29/10/2020,8
30/10/2020,7
31/10/2020,10
01/11/2020,7
02/11/2020,8
03/11/2020,10
04/11/2020,18
05/11/2020,46
06/11/2020,43
07/11/2020,33
08/11/2020,36
09/11/2020,14
10/11/2020,11
11/11/2020,8
12/11/2020,8
13/11/2020,10
14/11/2020,11
15/11/2020,7
16/11/2020,7
17/11/2020,7
18/11/2020,9
19/11/2020,8
20/11/2020,10
21/11/2020,6
22/11/2020,7
23/11/2020,14
24/11/2020,9
25/11/2020,14
26/11/2020,16
27/11/2020,26
28/11/2020,40
29/11/2020,30
30/11/2020,16
01/12/2020,7
02/12/2020,16
03/12/2020,9
04/12/2020,10
05/12/2020,9
06/12/2020,17
07/12/2020,22
08/12/2020,23
09/12/2020,12
10/12/2020,11
11/12/2020,12
12/12/2020,13
13/12/2020,7
14/12/2020,9
15/12/2020,9
16/12/2020,8
17/12/2020,8
18/12/2020,8
19/12/2020,9
20/12/2020,7
21/12/2020,5
22/12/2020,11
23/12/2020,7
24/12/2020,&nbsp;
25/12/2020,&nbsp;
26/12/2020,&nbsp;
27/12/2020,&nbsp;
28/12/2020,&nbsp;
29/12/2020,&nbsp;
30/12/2020,13
31/12/2020,16
01/01/2021,22
02/01/2021,9
03/01/2021,10
04/01/2021,5
05/01/2021,6
06/01/2021,7
07/01/2021,20
08/01/2021,24
09/01/2021,22
10/01/2021,19
11/01/2021,8
12/01/2021,8
13/01/2021,15
14/01/2021,8
15/01/2021,19
16/01/2021,10
17/01/2021,10
18/01/2021,9
19/01/2021,&nbsp;
20/01/2021,&nbsp;
21/01/2021,&nbsp;
22/01/2021,&nbsp;
23/01/2021,12
24/01/2021,13
25/01/2021,13
26/01/2021,10
27/01/2021,11
28/01/2021,7
29/01/2021,8
30/01/2021,8
31/01/2021,11
01/02/2021,&nbsp;
02/02/2021,&nbsp;
03/02/2021,9
04/02/2021,8
05/02/2021,7
06/02/2021,11
07/02/2021,9
08/02/2021,8
09/02/2021,&nbsp;
10/02/2021,&nbsp;
11/02/2021,&nbsp;
12/02/2021,17
13/02/2021,13
14/02/2021,13
15/02/2021,9
16/02/2021,7
17/02/2021,7
18/02/2021,5
19/02/2021,8
20/02/2021,15
21/02/2021,14
22/02/2021,20
23/02/2021,10
24/02/2021,11
25/02/2021,10
26/02/2021,13
27/02/2021,23
28/02/2021,18
01/03/2021,30
02/03/2021,41
03/03/2021,47
04/03/2021,15
05/03/2021,5
06/03/2021,7
07/03/2021,15
08/03/2021,31
09/03/2021,17
10/03/2021,12
11/03/2021,8
12/03/2021,6
13/03/2021,5
14/03/2021,6
15/03/2021,8
16/03/2021,9
17/03/2021,10
18/03/2021,10
19/03/2021,6
20/03/2021,11
21/03/2021,9
22/03/2021,16
23/03/2021,18
24/03/2021,19
25/03/2021,8
26/03/2021,7
27/03/2021,7
28/03/2021,7
29/03/2021,10
30/03/2021,17
31/03/2021,27
01/04/2021,22
02/04/2021,7
03/04/2021,&nbsp;
04/04/2021,&nbsp;
05/04/2021,&nbsp;
06/04/2021,&nbsp;
07/04/2021,8
08/04/2021,7
09/04/2021,7
10/04/2021,8
11/04/2021,8
12/04/2021,12
13/04/2021,16
14/04/2021,14
15/04/2021,8
16/04/2021,12
17/04/2021,10
18/04/2021,12
19/04/2021,23
20/04/2021,38
21/04/2021,36
22/04/2021,10
23/04/2021,12
24/04/2021,13
25/04/2021,10
26/04/2021,9
27/04/2021,17
28/04/2021,20
29/04/2021,12
30/04/2021,13
01/05/2021,12
02/05/2021,18
03/05/2021,7
04/05/2021,7
05/05/2021,6
06/05/2021,7
07/05/2021,8
08/05/2021,6
09/05/2021,7
10/05/2021,8
11/05/2021,7
12/05/2021,7
13/05/2021,11
14/05/2021,12
15/05/2021,9
16/05/2021,5
17/05/2021,10
18/05/2021,8
19/05/2021,5
20/05/2021,8
21/05/2021,9
22/05/2021,6
23/05/2021,6
24/05/2021,6
25/05/2021,7
26/05/2021,9
27/05/2021,13
28/05/2021,15
29/05/2021,16
30/05/2021,14
31/05/2021,16
01/06/2021,16
02/06/2021,16
03/06/2021,15
04/06/2021,11
05/06/2021,11
06/06/2021,8
07/06/2021,9
08/06/2021,8
09/06/2021,8
10/06/2021,8
11/06/2021,8
12/06/2021,10
13/06/2021,14
14/06/2021,&nbsp;
15/06/2021,&nbsp;
16/06/2021,&nbsp;
17/06/2021,&nbsp;
18/06/2021,&nbsp;
19/06/2021,&nbsp;
20/06/2021,&nbsp;
21/06/2021,&nbsp;
22/06/2021,&nbsp;
23/06/2021,&nbsp;
24/06/2021,&nbsp;
25/06/2021,&nbsp;
26/06/2021,&nbsp;
27/06/2021,&nbsp;
28/06/2021,&nbsp;
29/06/2021,10
30/06/2021,6
01/07/2021,12
02/07/2021,15
03/07/2021,7
04/07/2021,3
05/07/2021,4
06/07/2021,6
07/07/2021,7
08/07/2021,7
09/07/2021,9
10/07/2021,6
11/07/2021,7
12/07/2021,7
13/07/2021,12
14/07/2021,8
15/07/2021,8
16/07/2021,7
17/07/2021,5
18/07/2021,8
19/07/2021,10
20/07/2021,12
21/07/2021,19
22/07/2021,22
23/07/2021,9
24/07/2021,16
25/07/2021,17
26/07/2021,&nbsp;
27/07/2021,&nbsp;
28/07/2021,&nbsp;
29/07/2021,&nbsp;
30/07/2021,&nbsp;
31/07/2021,&nbsp;
01/08/2021,&nbsp;
02/08/2021,&nbsp;
03/08/2021,&nbsp;
04/08/2021,&nbsp;
05/08/2021,&nbsp;
06/08/2021,&nbsp;
07/08/2021,&nbsp;
08/08/2021,&nbsp;
09/08/2021,&nbsp;
10/08/2021,&nbsp;
11/08/2021,&nbsp;
12/08/2021,&nbsp;
13/08/2021,&nbsp;
14/08/2021,&nbsp;
15/08/2021,&nbsp;
16/08/2021,&nbsp;
17/08/2021,&nbsp;
18/08/2021,&nbsp;
19/08/2021,&nbsp;
20/08/2021,&nbsp;
21/08/2021,&nbsp;
22/08/2021,&nbsp;
23/08/2021,&nbsp;
24/08/2021,&nbsp;
25/08/2021,&nbsp;
26/08/2021,&nbsp;
27/08/2021,&nbsp;
28/08/2021,5
29/08/2021,4
30/08/2021,4
31/08/2021,3
